model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8994957091037777,0.6336206896551724,0.33358547655068077,0.4370664023785927,0.9026599858945309
RandomForest,0.9050694505883394,0.6680161943319838,0.3744326777609682,0.47988366456616577,0.9206908026915285
